  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
 ============================================
   0          1    1   99 2212         -4  0.012570           22     0.948683     0.000000      0.31094973662       31.26930419406        0.01256980281     2457.26367187500     1325.65930175781        3.08330475421     2211.53731874763       -1105.768659374       -1105.768659374           0.000000000          31.269304194           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.266402228       -1105.768659374             63
 ============================================
    59      1         22       49        0        0        0.011277       -0.026746       -0.000070        0.029026        0.000000       -0.000115       -0.000082        0.000043
 =============== Event finished ===============
   0          4    1   99 2212          3  0.043638           22     0.948683     0.000000      0.42087412922      146.93166972400        0.04363787919     3221.01586914062     1794.29553222656        1.72482095584     2898.91423524108       -1449.457117621       -1449.457117621           0.000000000         146.931669724           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.233625149       -1449.457117621             54
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0        1.415191        9.115310       -9.745831       13.419123        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0       -1.415191       -9.115310      -10.254169        6.580877      -12.121537        0.000000        0.000000        0.000000
     5     21       2212        2        0        0       -0.000000       -0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     6     21         22        4        0        0       -1.415561       -9.117693      -10.254568        6.584879      -12.121537        0.000000        0.000000        0.000000
     7     21          3        5        0        0        0.000016        0.000104        4.362665        4.362665        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0       -1.415561       -9.117693      -10.254568        6.584879      -12.121537        0.000000        0.000000        0.000000
     9     21          3        7        0        0        0.000016        0.000104        4.362665        4.362665        0.000000        0.000000        0.000000        0.000000
    10     21          3        9        0        0       -1.415545       -9.117589       -5.891904       10.947544        0.000000        0.000000        0.000000        0.000000
    11     11        313        5       18       19        0.246090        0.398009       85.320767       85.327143        0.932294        0.000000        0.000000        0.000000
    12      1         11        3        0        0        1.415191        9.115310       -9.745831       13.419123        0.000510        0.000000        0.000000        0.000000
    13     12       2203        5       20       20        0.098811       -0.438522        7.707190        7.758724        0.771330        0.000000        0.000000        0.000000
    14     12         21       10       20       20       -0.659335       -1.943233        0.863814        2.226444        0.000000        0.000000        0.000000        0.000000
    15     12         21       10       20       20        0.683560       -1.239950        1.928470        2.392431        0.000000        0.000000        0.000000        0.000000
    16     12         21       10       20       20       -0.497677       -0.947712       -0.188602        1.086927        0.000000        0.000000        0.000000        0.000000
    17     11          3       10       20       20       -1.286640       -4.943902       -5.885808        7.793610        0.000000        0.000000        0.000000        0.000000
    18      1        321       11        0        0        0.295822        0.186687       31.799972       31.805726        0.493600        0.000000        0.000000        0.000000
